client_id,imf_id,jours_retard_actuel,nb_incidents_paiement_12m,label_defaut_90j,score_anomalie
CLAG0300501198,3,50,1,0,-0.006013653776430927
CLAG0100300193,1,0,2,0,-0.005192931875604101
CLAG0200601042,2,461,12,1,-0.0005858622026203575
CLAG0300600434,3,67,4,1,-0.008336344585724298
CLAG0200600711,2,462,12,1,-0.027573516163970413
CLAG0300101002,3,65,4,0,-0.0021111085702402166
CLAG0300600477,3,173,6,1,-0.014511601816244668
CLAG0200600685,2,530,12,1,-0.011666994199978409
CLAG0100101079,1,0,0,0,-0.011918818530095021
CLAG0300100645,3,215,9,1,-0.018611274726804572
CLAG0200501117,2,189,8,1,-0.0017759207011038836
CLAG0200600925,2,519,12,1,-0.011373705268590495
CLAG0100100888,1,0,1,0,-0.02144466084684582
CLAG0200600522,2,423,12,1,-0.052339862511222246
CLAG0200601027,2,490,12,0,-0.038567527789262646
CLAG0100500514,1,32,1,0,-0.0246205779265265
CLAG0300100870,3,230,8,1,-0.0014965732736132997
CLAG0200600800,2,485,12,1,-0.00019569956140119693
CLAG0200500389,2,261,10,1,-0.005660971722462826
CLAG0200500589,2,314,11,1,-0.007304195170930949
CLAG0200100343,2,86,3,1,-0.010137305790442586
CLAG0200500930,2,325,12,1,-0.00404128266580317
CLAG0200100752,2,74,3,1,-0.01916265797593264
CLAG0200600503,2,467,12,1,-0.01872459428889084
CLAG0300200191,3,102,4,1,-0.04373695096246122
CLAG0200600124,2,244,9,1,-0.01752926890429063
CLAG0200600516,2,535,12,1,-0.017214142121444787
CLAG0200600662,2,486,12,1,-0.0022592619069166098
CLAG0200300840,2,171,7,1,-0.0036215261994466674
CLAG0200500562,2,251,10,1,-0.01164036982244765
CLAG0200200129,2,42,1,0,-0.027239472583082458
CLAG0200600433,2,319,11,1,-0.07090146267969732
CLAG0100400787,1,0,0,0,-0.02701771972042899
CLAG0100200079,1,0,2,0,-0.019888674244359028
CLAG0300100233,3,57,1,0,-0.0014634605900396558
CLAG0200600696,2,408,12,1,-8.598651240798727e-05
CLAG0200600489,2,340,12,1,-0.014148239038371813
CLAG0200601075,2,469,12,1,-0.02049156406355923
CLAG0300500194,3,9,1,0,-0.018283125250885268
CLAG0300100349,3,147,4,0,-0.041985883620730635
CLAG0200600895,2,455,12,1,-0.0015195996331364148
CLAG0100300327,1,0,1,0,-0.0028501587247359295
CLAG0200500025,2,145,6,0,-0.0015250328406672953
CLAG0200600709,2,485,12,1,-0.005842640016874401
CLAG0200300985,2,160,7,0,-0.0071917211000795955
CLAG0200601094,2,513,12,1,-0.005323505395459005
CLAG0200200001,2,57,1,0,-0.02538546667100594
CLAG0200100206,2,56,1,1,-0.0017988624621109173
CLAG0300400463,3,28,0,1,-0.013022805802035298
CLAG0100400077,1,0,1,0,-0.033565064313544224
CLAG0300500486,3,49,1,0,-0.028543928714563904
CLAG0200500324,2,321,12,1,-0.0032600418129191677
CLAG0200600606,2,494,12,1,-0.008930885938972288
CLAG0200600379,2,323,10,1,-0.08449760173108689
CLAG0200400747,2,167,6,0,-0.03488711603500705
CLAG0300600516,3,37,3,0,-0.0035338432281871723
CLAG0300100956,3,38,3,0,-0.04047243502648057
CLAG0100200036,1,0,0,0,-0.03321952293349517
CLAG0100400138,1,0,0,0,-0.0012186500452322502
CLAG0100500905,1,49,3,0,-0.003911418500798791
CLAG0200100556,2,77,4,1,-0.011095827068537845
CLAG0300100104,3,42,3,0,-0.05023854004179329
CLAG0200100515,2,23,2,1,-0.011990776119555457
CLAG0300600896,3,13,0,0,-0.03599256603253742
CLAG0200600878,2,401,12,1,-0.009092789090194175
CLAG0100100540,1,0,0,0,-0.04602943817281191
CLAG0300101083,3,182,8,1,-0.006291389970826122
CLAG0200200885,2,82,3,0,-0.011292588115733304
CLAG0300100726,3,28,2,0,-0.02103501438763644
CLAG0200100300,2,73,4,0,-0.015474398672405076
CLAG0300100278,3,80,4,0,-0.0026343597804669994
CLAG0200600595,2,402,12,1,-0.011740091588662072
CLAG0200300003,2,79,4,1,-0.002704102054341906
CLAG0200300582,2,172,5,1,-0.023158067880975852
CLAG0200601055,2,434,12,1,-0.004699871725799665
CLAG0200300818,2,124,4,1,-0.06748864263948195
CLAG0200600771,2,434,12,1,-0.0034349048057403797
CLAG0200601132,2,465,12,0,-0.014381482621956487
CLAG0200601052,2,471,12,1,-0.01985234565971883
CLAG0200600730,2,485,12,1,-0.005389500494138222
CLAG0200600574,2,390,12,1,-0.009262172606796737
CLAG0300100509,3,79,3,0,-0.013354046044524392
CLAG0200501061,2,233,9,1,-0.01718942828559833
CLAG0200500351,2,328,10,0,-0.008223155179435837
CLAG0200600783,2,512,12,1,-0.007076799670847844
CLAG0200600622,2,497,12,0,-0.033417863338433884
CLAG0100100074,1,0,0,0,-0.01764710977040207
CLAG0100200344,1,0,0,0,-0.002812736245553338
CLAG0200200014,2,69,3,0,-0.015693168729747797
CLAG0200601188,2,413,12,1,-0.004568592629202395
CLAG0200500726,2,324,10,1,-0.03196379183192566
CLAG0200500525,2,325,12,1,-0.018292619053652648
CLAG0100100822,1,0,2,0,-0.0004666200907659235
CLAG0100300283,1,0,1,0,-0.004055663420064692
CLAG0200600654,2,531,12,0,-0.010128920910179917
CLAG0200300946,2,159,7,1,-0.0019171244968290146
CLAG0100201110,1,0,2,1,-0.025458157169641393
CLAG0200600142,2,303,12,1,-0.031846374219764995
CLAG0100200469,1,0,1,0,-0.01682125984170424
CLAG0300100313,3,37,2,0,-0.018021585776372917
CLAG0300100179,3,43,2,1,-0.0030611177401608236
CLAG0300600124,3,3,2,0,-0.009093632623771275
CLAG0200201111,2,84,4,0,-0.006838733159966082
CLAG0300600224,3,287,10,1,-0.0115437598970769
CLAG0200200110,2,63,2,0,-0.023459324222080746
CLAG0200600269,2,324,12,1,-0.005430864786148071
CLAG0300500614,3,79,4,1,-0.003628558987707753
CLAG0300100084,3,266,9,0,-0.005896394064717869
CLAG0200600760,2,509,12,1,-0.023467490101845234
CLAG0200500404,2,336,12,1,-0.024019264528258644
CLAG0100300180,1,0,0,0,-0.049515389241123975
CLAG0200401045,2,128,4,1,-0.027175563873389263
CLAG0100500852,1,67,4,0,-0.02292985922416768
CLAG0100600930,1,72,3,0,-0.07800002073299062
CLAG0200100180,2,76,3,0,-0.009584858364476201
CLAG0300400714,3,108,4,1,-0.0070369708107133055
CLAG0100601062,1,55,2,0,-0.006073922664720177
CLAG0300400342,3,20,0,1,-0.019617511221054262
CLAG0300100277,3,148,4,0,-0.0003400025267351614
CLAG0200600559,2,540,12,1,-0.016734012132609388
CLAG0200600509,2,536,12,1,-0.006525176578444314
CLAG0200600897,2,462,12,1,-0.013666812504664616
CLAG0200600569,2,513,12,1,-0.020246449575022862
CLAG0200600264,2,331,12,1,-0.013556259256797154
CLAG0200200607,2,56,2,0,-0.04997865841014193
CLAG0300600696,3,364,12,1,-0.035114393562595936
CLAG0200100352,2,79,4,1,-0.009455714355161904
CLAG0300100962,3,27,0,0,-0.007309640278196028
CLAG0200100122,2,88,4,0,-0.023533115385614645
CLAG0100300183,1,0,2,0,-0.010223486860384878
CLAG0100300234,1,0,2,0,-0.008284819270118593
CLAG0200200128,2,71,4,0,-0.04710034459511636
CLAG0300300319,3,284,11,1,-0.004560829927335752
CLAG0100300604,1,0,1,0,-0.028874876948082107
CLAG0200500482,2,314,12,1,-0.002189573454024152
CLAG0100400887,1,0,0,0,-0.018104409330826465
